Hostname,AUC,Accuracy,f1,spec,sens,prec,model_CV
Homo sapiens,0.9262,0.8412,0.8412,0.8242,0.8594,0.8415,1
Solanum lycopersicum,0.8694,0.8198,0.8197,0.8302,0.8103,0.8196,3
Sus scrofa,0.7773,0.7045,0.7021,0.814,0.6,0.7159,4
Bos taurus,0.9048,0.8148,0.8119,0.9048,0.7179,0.8253,5
Mus musculus,0.7785,0.6857,0.6847,0.7027,0.6667,0.6847,1
